province,AQI,PM2.5_IAQI,PM10_IAQI,SO2_IAQI,NO2_IAQI,CO_IAQI,O3_IAQI
海南省,34.18567741935483,19.7705069124424,20.07612903225807,1.3907096774193544,3.963709677419355,7.579032258064516,34.175612903225804
广东省,47.85423001861525,43.54547378850653,41.90379571248423,6.122408575031525,20.621579445145,15.780895334174025,36.99040142917195
云南省,61.319710443659154,56.92592651018005,50.95914310954051,6.024711425206137,10.432398409893988,16.18801531213192,45.77347074990176
Quang Ninh,36.835,22.45714285714286,19.42,1.56,1.775,5.75,36.835
广西壮族自治区,40.914573244552045,38.11853813559326,36.12252824858761,5.572118644067801,11.164359698681736,15.421374764595104,33.52660546139359
,45.49611111111111,18.56626984126984,15.39,2.786666666666666,6.979166666666667,5.444444444444445,41.2437037037037
Dien Bien,72.25,72.25,55.52,4.62,5.8,12.5,67.40833333333333
香港特别行政区,46.4125,25.22142857142857,30.85,3.285,16.7,8.125,46.4125
Cao Bang,41.84285714285714,41.84285714285714,37.88,6.99,7.475,16.5,31.805
台湾省,40.360009099181084,28.880618744313004,26.36484076433121,5.934203821656053,20.318789808917217,5.953821656050955,39.73875796178345
Shan,100.51875,100.51875,69.98750000000001,6.61,23.8625,20.125,44.535
福建省,43.19084601691144,41.55539719626164,40.4207570093458,7.153345794392529,20.0563785046729,16.3803738317757,31.09011838006232
贵州省,49.3309280511691,47.713108244583225,46.02118251928023,9.420976863753214,10.95830655526992,13.299164524421592,32.59694301628106
湖南省,30.4618810289389,26.863087582299805,27.922015005359047,7.631607717041795,18.543167202572334,19.34807073954984,17.98948017148982
江西省,46.65873156055903,46.33976853649072,40.06406929347828,9.188872282608704,23.186769701086963,21.490828804347824,17.5576766304348
四川省,49.25783324420074,28.691734073133244,32.806214319139016,6.378175011698636,8.016354702854468,9.975783809078148,38.939026672905854
西藏自治区,48.62328972250128,5.767986075296544,4.602120463613898,0.4432870986129757,0.6877280068402158,3.71218886566597,48.62054943314975
East Siang,47.76,42.82857142857143,33.33,3.81,3.6375,7.249999999999999,47.76
重庆市,42.03644047619051,37.35247519841269,40.80237500000003,14.093111111111115,17.523333333333323,15.276388888888889,19.94637500000001
浙江省,46.88100449735446,42.1244484126984,42.9411,6.570688888888888,35.086277777777774,14.557222222222222,24.986103703703705
湖北省,48.2561078896503,47.89954972764012,39.4242742927429,9.554907749077492,23.0987853628536,21.226014760147603,20.712490774907742
Central,44.045,5.042857142857143,4.02,0.46,0.5125,3.25,44.045
安徽省,53.42672019944343,52.94587778293136,43.95327922077922,8.232110389610387,32.69669237012992,18.44967532467533,21.01027597402597
Mid-Western,46.7375,1.192857142857143,1.0,0.16,0.275,3.25,46.7375
江苏省,46.77289061656408,37.7181891804341,36.57310657596374,6.8743537414966,33.11723356009068,14.494331065759637,27.622921390778544
陕西省,84.612730071034,84.1667837411208,64.75982872928184,15.089779005524868,29.19596685082873,24.09281767955801,20.26959668508288
河南省,98.689354679803,98.689354679803,66.08377931034488,7.839958620689652,37.39872413793103,25.278275862068966,22.157351724137907
上海市,54.94135416666668,34.9327380952381,39.990833333333335,8.324166666666667,52.5609375,13.572916666666666,29.072708333333324
青海省,43.39870313085866,15.239208380202475,13.941223518935129,1.4100721784776844,1.1110810367454054,4.1109744094488185,39.88238517060377
甘肃省,88.42352018966042,62.49475852707248,79.44869990822875,6.9889025695931455,7.179685492505368,8.272216274089935,33.59449678800849
Uttarakhand,43.7775,1.5142857142857142,1.11,0.08,1.91875,3.375,43.7775
Himachal Pradesh,44.17,0.942857142857143,0.68,0.07,1.4625,3.25,44.17
山西省,117.05269278478396,117.05269278478396,79.02427641099857,24.22484804630971,44.9500723589001,32.447178002894354,22.5477496382055
山东省,73.63579039812646,70.73976208218012,54.98859165424735,7.591385991058124,35.62930327868855,21.432563338301044,25.7592697466468
宁夏回族自治区,95.2819823788546,85.78656387665198,85.85903083700438,18.6584140969163,22.42296255506609,15.640969162995594,27.48178414096916
河北省,91.14376646706576,90.8371749358426,66.19177844311378,8.161029940119763,37.81300898203592,21.30988023952096,24.436305389221523
新疆维吾尔自治区,56.25649799546851,37.80728653699246,28.58701357466053,2.0502509255450505,2.3685606060606035,5.312148635678048,33.48914667032313
内蒙古自治区,43.82433563086349,27.87527351549468,24.445700746697334,7.658273023166735,6.289996170783077,8.620428872295616,32.30574191077921
天津市,112.9528301886792,112.9528301886792,74.12650943396227,5.497924528301888,68.73561320754713,24.67924528301887,18.279622641509437
辽宁省,78.06015124751593,77.94869728416863,57.577125193199294,14.551375579598147,29.832399536321496,23.77163833075734,32.20442040185469
北京市,108.03645833333329,108.03645833333329,75.67027777777777,4.284861111111112,50.63854166666668,20.03472222222222,24.80597222222222
Gorno-Badakhshan,34.78125,0.7357142857142858,0.5700000000000001,0.1675,0.7125,3.5,34.78125
吉林省,44.47779727734947,39.780695423979004,34.84046498277842,9.559081515499429,14.850401836969027,14.598163030998853,35.54087830080366
Osh,34.58,0.1142857142857143,0.11,0.05,0.1875,3.25,34.58
Naryn,35.385,0.2666666666666666,0.2133333333333333,0.1066666666666666,0.1999999999999999,3.083333333333333,35.385
Issyk Kul,33.87166666666666,0.388095238095238,0.6750000000000002,0.1666666666666666,0.2749999999999999,3.0416666666666665,33.87166666666666
Almaty Region,32.9525,2.7321428571428568,2.1375,2.255,0.9125,3.6875,32.9525
黑龙江省,39.227027464741255,23.929556650246404,22.1665682569674,5.527113840340105,8.986974492205947,9.350259801606049,36.56166745394425
Dornod,31.131666666666664,2.523809523809524,2.0,1.28,0.8333333333333334,4.0,31.131666666666664
