city,AQI,PM2.5_IAQI,PM10_IAQI,SO2_IAQI,NO2_IAQI,CO_IAQI,O3_IAQI
三亚市,39.082556486880456,36.81571610787172,35.148724489795924,4.694387755102042,9.208354591836736,13.655612244897958,31.692908163265304
乐东黎族自治县,40.76172619047621,38.873384353741486,34.64014880952381,5.258005952380953,5.213690476190476,10.339285714285714,33.23303571428571
保亭黎族苗族自治县,41.51171343537416,39.89987244897959,36.8079761904762,5.116190476190476,8.657142857142855,12.624999999999998,31.59392857142857
陵水黎族自治县,42.67065901360546,39.42714710884354,36.67633928571428,5.29077380952381,6.2823660714285685,11.043154761904765,33.943511904761905
东方市,44.25303339517624,41.67927875695732,36.48366883116883,6.421266233766233,4.811972402597402,9.412337662337665,35.37529220779221
五指山市,43.91444387755103,42.08073979591836,37.09842857142858,5.53842857142857,5.478392857142857,10.235714285714286,32.502071428571426
白沙黎族自治县,46.41073754501802,42.2484956482593,38.66698529411764,6.001722689075632,5.552573529411765,10.001050420168069,34.959506302521014
琼中黎族苗族自治县,46.32276056851311,44.29375,40.24434948979592,5.984744897959186,6.594164540816328,10.648596938775514,31.640880102040818
昌江黎族自治县,47.13757936507936,44.897094671201806,39.26402777777777,6.719563492063491,5.238293650793652,9.756944444444445,35.4889880952381
琼海市,43.87240858843537,40.21507227891157,38.81818452380952,5.868214285714287,6.917485119047617,10.614583333333334,33.72869047619047
儋州市,49.17543792517005,46.91508078231293,42.27189285714285,6.794404761904763,7.013303571428572,10.781547619047616,32.91025
屯昌县,46.75732397959184,44.324834183673474,41.63946428571428,6.520857142857143,9.184017857142855,11.748214285714283,30.623000000000008
定安县,47.180718537414975,44.2673256802721,42.82994047619047,6.223869047619046,10.281622023809524,12.45238095238095,29.797827380952388
澄迈县,49.323657069970864,46.211634475218666,44.32311224489797,7.410867346938773,11.843558673469389,12.880102040816324,29.110688775510205
文昌市,43.51146683673469,39.93593112244899,39.046410714285706,5.9500714285714285,6.2721875,10.828571428571433,33.13991071428571
临高县,49.972935495626814,47.38404701166182,44.62780612244898,7.41969387755102,9.562882653061225,11.961734693877547,30.655841836734687
海口市,47.39153805272106,44.111394557823125,43.46315476190476,6.725684523809522,10.785305059523807,12.786458333333332,29.713442460317463
湛江市,62.13395284477427,60.49304151205938,51.10402272727272,8.940415584415584,16.04284090909091,17.086201298701297,34.70876623376624
西双版纳傣族自治州,54.50124310394889,52.68788109756098,49.67087543554008,7.282425958188154,15.126361062717768,17.557164634146343,31.448539488966315
Binh Lieu,63.90801020408162,63.8719387755102,50.89214285714286,11.356428571428571,7.675000000000002,13.75,34.06964285714286
防城港市,65.67940408163265,65.33859693877551,54.24514285714286,10.579614285714284,17.95008928571428,20.873214285714287,33.38892142857142
北海市,75.0600692419825,74.75296282798833,58.26738520408164,10.066020408163263,16.94945790816327,21.10012755102041,32.41563350340136
茂名市,63.51630170371721,62.5969608691691,52.58788265306122,8.920414540816326,16.493319515306126,17.934151785714285,33.3428443877551
崇左市,68.58935029708086,68.13345388788426,53.54796564195299,10.68476039783002,14.574547920433991,19.06815099457505,31.916743520192888
钦州市,76.1173633381924,75.76833272594753,60.32110422740524,10.135532069970846,20.260550291545197,23.543913994169092,31.882384596695815
玉林市,76.80440939322158,76.20389554482506,60.68743303571427,10.930433673469386,18.74704241071429,21.566804846938776,31.068189838435377
阳江市,59.030188234384674,57.950575912183055,48.13099567099568,8.164383116883117,17.626785714285717,15.630140692640694,32.033647186147185
江门市,58.45710106603617,56.3206181557989,48.75404616724738,8.056585365853659,29.56142857142857,15.585801393728222,30.39042537746806
,38.058510487528345,16.271797052154195,13.888670634920633,3.2022619047619045,6.24186507936508,5.570436507936508,33.80720238095238
珠海市,54.4965695861678,50.290486819727896,45.248541666666654,10.11047619047619,26.518824404761908,13.522321428571429,34.6577876984127
普洱市,46.15788835077179,41.54078460064228,39.30871374184191,6.157623277737492,7.882222171863669,14.040835750543875,37.26879079042784
南宁市,73.24370102040815,72.68219272959183,58.71445178571429,11.048985714285717,23.46136607142858,22.693571428571428,30.804433928571434
Muong Nhe,56.716951530612256,54.29387755102041,46.1992857142857,7.816071428571427,5.70982142857143,11.133928571428571,42.20684523809525
红河哈尼族彝族自治州,53.114640159512085,50.204100545390574,46.65120320197044,8.088027093596057,7.3232481527093585,14.318657635467982,38.89838998357964
中山市,57.57588293650792,55.37743764172334,49.941904761904766,8.752698412698416,38.46417658730159,17.01289682539683,29.67271164021164
云浮市,60.810900974025984,60.38061417748918,50.39531926406927,7.636201298701301,21.580749458874465,17.694534632034628,28.63292748917749
文山壮族苗族自治州,57.64042097867514,55.25844143508467,51.012288500506585,9.661821175278623,8.881845238095236,16.816742654508612,33.71672534616684
贵港市,81.99356394188108,81.76612078527062,63.10644798136646,10.99557453416149,18.745467779503105,22.39460403726708,30.67003881987577
梧州市,72.70050701530612,72.54791305272109,58.45364880952383,9.836857142857143,18.427611607142858,21.73928571428572,28.85270833333333
香港特别行政区,48.71339285714286,46.24748086734694,44.03107142857142,8.059642857142856,30.22142857142858,14.044642857142858,34.25723214285714
百色市,74.6573304073182,71.03073055309079,61.26616760679427,12.980778615794144,14.338955745341616,22.20175244010648,29.43016637089619
Ha Quang,79.82946428571427,79.82946428571427,59.72928571428572,13.859642857142854,9.192857142857145,16.5625,31.702321428571423
佛山市,63.02593191964285,58.730875318877565,52.52438616071428,8.58075892857143,43.47297991071427,19.0859375,26.73758928571429
深圳市,53.34355442176872,50.308893140589575,47.68355158730159,8.389444444444447,33.13497023809524,17.294642857142854,31.91188492063492
