city,AQI,PM2.5_IAQI,PM10_IAQI,SO2_IAQI,NO2_IAQI,CO_IAQI,O3_IAQI
三亚市,24.305,16.720408163265308,22.91,1.4014285714285717,18.93928571428572,20.821428571428573,19.165
乐东黎族自治县,23.66541666666667,7.473809523809524,9.61,0.605,6.195833333333333,12.958333333333334,23.66541666666667
保亭黎族苗族自治县,24.793333333333333,15.390476190476193,19.336666666666662,1.9416666666666669,21.23958333333333,23.20833333333333,18.93083333333333
陵水黎族自治县,18.31583333333333,7.652380952380952,10.096666666666668,0.69,8.95625,13.083333333333334,18.23166666666667
东方市,26.990909090909096,5.068831168831169,6.173636363636362,0.66,2.546590909090909,6.886363636363637,26.990909090909096
五指山市,23.205,7.757142857142858,7.882,1.128,6.825,12.65,23.205
白沙黎族自治县,22.314411764705884,6.203361344537815,7.374117647058824,0.7311764705882353,3.683823529411765,5.676470588235294,22.314411764705884
琼中黎族苗族自治县,23.27535714285714,7.898979591836736,7.852857142857144,0.7721428571428571,5.121428571428571,6.892857142857143,23.27535714285714
昌江黎族自治县,27.709444444444443,7.657142857142857,7.732222222222223,1.1022222222222222,3.966666666666667,6.083333333333333,27.709444444444443
琼海市,19.9075,9.21904761904762,11.04166666666667,1.0333333333333332,5.370833333333333,4.333333333333333,19.9075
儋州市,30.10666666666667,17.573333333333334,16.21,1.462,6.0841666666666665,6.2,30.10666666666667
屯昌县,23.653,11.1,11.738,0.812,6.340000000000001,5.6,23.653
定安县,23.07083333333333,16.361904761904764,18.105,1.4566666666666668,9.439583333333331,6.291666666666667,23.07083333333333
澄迈县,28.19071428571429,22.540816326530614,24.095714285714287,2.188571428571428,12.323214285714284,7.678571428571429,27.689285714285717
文昌市,21.1435,9.054285714285715,13.117,0.874,5.34625,4.15,21.1435
临高县,31.160000000000004,26.548979591836734,27.14,1.842857142857143,9.305357142857144,7.571428571428571,31.160000000000004
海口市,27.3825,23.20119047619048,25.504166666666663,2.8208333333333333,15.481249999999998,8.041666666666666,26.2375
湛江市,37.31515584415584,33.48337662337663,30.081090909090918,5.451636363636364,12.55,21.095454545454544,33.918272727272715
西双版纳傣族自治州,30.630069686411133,21.651742160278747,29.96451219512194,3.0237804878048777,12.845426829268291,12.335365853658535,23.82914634146342
Binh Lieu,35.95,22.12857142857143,21.0,2.99,2.75,7.5,35.95
防城港市,37.92980000000001,34.44057142857143,35.5636,6.990799999999999,10.1055,15.78,31.838
北海市,41.78877551020408,40.75510204081633,37.30928571428571,6.36,10.192857142857145,19.946428571428573,34.18214285714286
茂名市,38.90491709183674,37.52152423469388,32.40642857142856,6.392857142857144,12.138616071428569,22.191964285714285,30.864821428571428
崇左市,45.190682640144665,43.011573236889696,43.19715189873416,6.301265822784811,8.475474683544306,15.050632911392404,32.906962025316446
钦州市,47.20988338192422,46.99249271137027,44.46438775510205,8.331632653061225,12.0015306122449,23.127551020408163,31.41163265306123
玉林市,54.62213010204082,54.62213010204082,50.18526785714287,13.515714285714283,15.26785714285714,25.464285714285715,31.21580357142857
阳江市,27.046839826839825,23.43982683982684,22.683636363636367,2.7515151515151515,8.581439393939396,12.606060606060606,24.026818181818182
江门市,23.671951219512195,19.271428571428576,20.90170731707317,3.281219512195123,11.298475609756098,11.146341463414634,19.4330487804878
,42.13805555555555,15.12063492063492,13.41777777777778,2.347777777777778,5.979166666666667,4.666666666666667,39.92722222222223
珠海市,19.374166666666667,6.442857142857143,9.501666666666669,1.6166666666666665,8.460416666666667,5.958333333333333,19.374166666666667
普洱市,27.04563089195068,23.759517766497463,23.81015228426396,3.506598984771573,6.786484771573607,9.486040609137056,22.54154822335025
南宁市,50.59189642857139,49.62099999999997,49.3227,8.8286,12.560375,20.1975,28.722699999999985
Muong Nhe,55.6625,55.6625,48.53,3.66,6.6000000000000005,10.25,46.945
红河哈尼族彝族自治州,44.862785714285735,40.30668719211824,42.05137931034484,5.795793103448275,7.778620689655175,21.01551724137931,40.26518390804599
中山市,26.42805555555556,23.40952380952381,24.98777777777778,5.818888888888889,23.11805555555556,17.02777777777778,19.13277777777778
云浮市,39.6712987012987,39.4965367965368,38.406060606060606,6.121212121212122,14.115151515151512,16.78787878787879,23.78181818181818
文山壮族苗族自治州,40.57589159067881,35.76575481256331,34.32758865248228,5.8704255319148935,7.561258865248229,10.49468085106383,38.33932624113474
贵港市,54.901086956521766,54.8855590062112,52.51054347826087,11.796739130434782,11.931521739130432,19.657608695652176,29.98532608695652
梧州市,51.314113095238106,51.15877976190479,49.6615,11.031333333333333,12.553541666666668,16.745833333333334,29.429499999999997
香港特别行政区,36.59375,14.7,16.895,5.74,36.59375,8.875,17.072499999999998
百色市,46.004403283052326,42.90084294587398,43.67155279503103,9.617826086956525,7.15753105590062,12.400621118012422,26.272049689441005
Ha Quang,54.725,54.725,50.06,9.8,7.45,12.5,33.51
佛山市,43.064687500000005,38.525000000000006,41.715,13.083125,39.81953125,20.78125,18.5134375
深圳市,44.60638888888889,30.866666666666667,36.642222222222216,9.18888888888889,44.56666666666667,21.83333333333333,17.063333333333336
肇庆市,43.45138528138528,42.92294372294373,42.967121212121214,8.91242424242424,18.22083333333333,15.515151515151516,26.62136363636364
广州市,48.5944827586207,42.43152709359606,46.71586206896553,10.999310344827586,44.712500000000006,20.43103448275862,21.404827586206896
东莞市,43.958,38.15857142857143,43.032,7.999,43.295,23.0,17.96
惠州市,34.76775793650794,29.201851851851853,30.2862962962963,6.719814814814816,27.834259259259262,15.87962962962963,26.899999999999995
