province,AQI,PM2.5_IAQI,PM10_IAQI,SO2_IAQI,NO2_IAQI,CO_IAQI,O3_IAQI
海南省,40.23514442977849,32.380852944889824,29.08733654441006,5.258745735749008,7.435244365885993,8.168471056120197,29.5973125189143
广东省,59.53228462027529,57.04437025539028,45.85615559087219,13.273082554544027,22.6598185406554,16.178442363834222,30.250966872860637
云南省,47.42623418749044,41.30967512314478,32.58336437710764,9.384638785355856,6.367612674863261,9.878836503864337,35.810171907858305
Quang Ninh,58.293844748858426,53.80522994129159,41.03542465753424,11.359589041095886,6.205890410958904,9.699315068493153,34.21789041095886
广西壮族自治区,68.4340132619103,67.24883779082415,50.54292936563214,14.756982431700328,12.287839124938731,13.64696101952892,32.86163754525363
,41.81528343118071,17.453919330289185,13.65341704718418,3.147062404870627,5.312785388127857,4.294901065449014,38.50968239472349
Dien Bien,47.63415688193087,43.26906555772992,32.6002602739726,7.221315068493154,2.897328767123289,7.154109589041096,39.16954337899546
香港特别行政区,52.02134589041099,43.57436154598829,39.65319863013698,8.7593904109589,38.28854109589039,17.105821917808218,28.40496803652968
Cao Bang,66.52929549902154,65.99477495107635,47.499547945205485,13.682602739726027,6.061609589041099,9.515068493150684,35.87361187214613
台湾省,34.847117630805954,24.649907294302427,21.357006543931583,5.92106901666521,19.122325495157487,5.061670011342812,29.59305366023908
Shan,39.8390448467058,31.79872798434443,23.96213698630136,4.400602739726028,2.2494863013698634,5.681164383561644,37.65319634703194
福建省,47.29641046143718,42.9271413994916,37.63341940852643,11.325260683651273,16.81157366534374,10.53488925873768,32.159217633252275
贵州省,71.40940667821921,70.27677035929351,52.55634244814592,21.604841361899016,12.88777556608092,12.603258618868196,30.55239289361555
湖南省,87.48101392976585,86.18152855087327,58.26186068130284,23.437809525907003,18.47176386380654,15.97983790688455,30.76826497009918
江西省,68.5735779444368,66.49667606674886,49.55243079160642,16.906655297910834,16.895001032980947,13.489491512805245,30.89481922636132
四川省,61.15417785267277,47.37971024315778,35.36479253475482,10.297144763864924,8.333631476721305,9.218234883109728,38.28180949519941
西藏自治区,46.80227346732371,8.66149882241086,6.564054648762748,0.5444618283753977,0.6580195419561212,3.291216531016479,46.69665179897697
East Siang,40.9122106979778,29.94103228962817,22.894356164383563,2.612876712328767,4.48,5.326027397260274,40.25992694063925
重庆市,77.1084964593752,76.04999269134598,57.09378580669709,22.85439086465285,14.946505327245063,14.312399162861489,31.56563214104516
浙江省,72.06869417495244,69.63439645720084,56.50134726897154,18.26346837138509,37.53703776255709,18.49371689497717,28.648742813523366
湖北省,93.49132954679764,92.13329852270152,62.38089792943916,27.3561752009301,23.335399054743977,16.16136396569444,31.88102539829883
Central,51.07048650892487,17.305234833659487,13.083232876712328,1.178575342465752,0.778904109589041,3.785616438356164,51.06300705687008
安徽省,93.88966816133964,91.78467192543268,69.06654211725163,21.888262314740043,32.01960868840065,20.80797300302436,27.545028215350428
Mid-Western,46.0111312785388,12.320149217221132,9.177671232876715,0.9924657534246571,0.4788527397260271,3.381849315068493,45.97631278538813
江苏省,94.34883230595392,90.25412597680956,75.54200017971965,26.427372565464516,40.50673366880998,24.87751498773025,30.19741910579096
陕西省,75.67754351483673,73.06862537255878,57.09135864354373,21.083215438175674,18.589386498145775,18.000770150609256,30.74002797749693
河南省,120.26929162625753,118.47545781631688,85.7750536527431,35.400874633915926,38.983898261691046,32.951179404818134,25.139456333576668
上海市,81.75611143603352,76.11152785931719,59.2924197243966,21.016847031963493,49.37444149543381,20.966609589041106,30.99440385014532
青海省,42.74075566458254,12.848638246310824,9.525506837437277,0.9100537635969896,0.9118644383921192,3.3820277837701798,41.230238369293176
甘肃省,48.065130264244814,34.07909838321383,27.65734626126712,5.9922849517016665,4.6365663811563165,6.839460561438501,34.6002328662679
Uttarakhand,43.085001141552524,12.907504892367909,9.611000000000002,0.9730410958904108,1.995171232876712,3.460958904109589,43.03444748858449
Himachal Pradesh,45.81729306766293,11.019809197651666,8.188246575342463,1.303287671232877,1.50095890410959,3.564383561643836,45.81729306766293
山西省,81.7596855861397,77.99017263521392,64.73013601773997,33.41745902381819,27.38490425827172,27.649856669904647,28.22438185314478
山东省,114.0910456361684,110.31986027513918,91.95408738162796,43.47509682637149,47.95880986260543,30.03386603515508,29.759362402787843
宁夏回族自治区,56.65349899665837,49.51889763528367,46.03181796943024,21.436941501139604,17.69960050690967,12.387763562850765,30.40095506205618
河北省,102.39295698631064,95.2523822492002,81.8109201120264,31.69628425256968,38.85495760807153,28.74393880731685,29.769530408174912
新疆维吾尔自治区,46.71938966584465,27.339695440873903,18.27111835585847,1.8091481949939137,1.7298340752720294,4.063937778579194,34.57341716415263
内蒙古自治区,41.05473374673824,27.462627472146075,21.849078736305977,7.370619797293596,5.6906606172907495,6.919276225546124,30.382461036922997
天津市,120.95768600508649,117.77428671122118,92.56968356533623,37.4369817484144,56.389927629878486,43.40789868182994,24.66384602551752
辽宁省,67.65511845042742,63.62538764239788,53.69040537086719,21.828045187075645,23.81420821070906,18.021060108826823,28.718067274125943
北京市,96.58991416488765,91.87572185076462,70.74096768319198,21.7433712533661,43.84695909436835,27.437675038051754,28.12323832503115
Gorno-Badakhshan,41.55751614481412,4.147250489236789,2.9535856164383545,0.267308219178082,0.5876541095890407,3.585616438356164,41.00859931506852
吉林省,55.33491804675255,49.69194722121746,39.89801477034516,11.665432968899523,16.028263623924637,11.63706415236778,30.309490508469263
Osh,41.207186888454,5.402650684931508,3.6095616438356126,0.2449589041095888,0.4478767123287672,3.6301369863013697,39.38636986301368
