city,AQI,PM2.5_IAQI,PM10_IAQI,SO2_IAQI,NO2_IAQI,CO_IAQI,O3_IAQI
三亚市,32.131855605255815,23.916430668157663,25.856872798434456,3.6394951076320927,13.241560665362034,13.980136986301371,28.281674494455302
乐东黎族自治县,33.53952938138725,24.542807403783456,23.406598173515995,3.6934954337899537,5.754326484018264,8.93921232876712,30.39148325722984
保亭黎族苗族自治县,32.84566590563164,25.66248043052838,25.9776598173516,3.963100456621006,12.435165525114163,12.535388127853878,28.224659056316604
陵水黎族自治县,33.62123043052836,24.075405251141543,23.93539497716894,3.611424657534248,6.915359589041096,9.246118721461176,30.328357686453543
东方市,36.93050174939217,26.59626979185201,24.05413698630138,4.708662515566624,4.155006226650064,6.97322540473225,32.91916853466167
五指山市,34.27016901500325,26.717508806262224,24.68015342465756,3.965128767123288,5.57000684931507,8.339589041095893,29.43549589041096
白沙黎族自治县,36.54626909942059,26.096685852423157,24.8905205479452,4.254591458501208,4.70374294923449,7.37348912167607,31.880847703464944
琼中黎族苗族自治县,35.22684158046777,27.44393870561925,25.90981213307238,4.126217221135025,5.685936888454011,8.151125244618397,29.02145499021524
昌江黎族自治县,38.67851616293399,29.28497662535333,26.30830898021307,5.197214611872151,4.715936073059361,7.326560121765606,33.35401877219682
琼海市,34.55756876494892,24.067100456620995,24.800872146118724,3.9944657534246577,5.9801369863013685,7.999771689497717,30.49785388127855
儋州市,38.4315361165471,30.535039138943223,28.7489598173516,5.195324200913241,6.266746575342465,8.625342465753427,31.401882496194855
屯昌县,34.64628864970645,26.951649706457925,26.79811232876713,4.2848,7.498184931506855,9.28904109589041,28.1008812785388
定安县,34.11394841269843,26.761527234181365,27.960141552511413,4.251657534246577,9.05287671232876,10.14109589041096,27.11838127853881
澄迈县,35.30663833752681,29.03476935979872,30.02721135029353,5.251334637964779,10.490391389432476,11.002054794520554,26.686542726679708
文昌市,35.26406206784081,24.12203962818004,25.9137383561644,4.028304109589039,5.688763698630139,8.133835616438358,30.78738904109589
临高县,37.23706914546639,30.629746994688286,30.74657729941293,5.469499021526416,8.349559686888458,10.215949119373777,29.25669928245269
海口市,34.455454256360085,27.50321306262232,29.90433561643836,5.063257990867575,10.869771689497728,11.062385844748858,26.837573820395733
湛江市,42.36631263929096,36.67366029176301,35.81493574097135,8.271965628891659,13.495688044831876,19.516562889165623,30.567193728065224
西双版纳傣族自治州,42.95495927402033,37.1077845926209,39.60251319746075,7.554305546274639,11.859548947544267,14.121157701303058,23.759586145450506
Binh Lieu,51.955162426614486,48.502695694716245,40.71006849315069,10.049863013698628,6.114075342465755,11.591780821917808,32.82524200913246
防城港市,49.01723467710369,45.20192446183954,42.5613479452055,9.08006794520548,13.792927397260268,18.86627397260272,26.798288219178087
北海市,47.75897111173238,42.36354591836732,39.64803522504897,9.319984344422704,14.006142367906063,23.115459882583185,29.029246249184617
茂名市,45.306746476330254,42.30499510763208,38.66568909001958,9.321165362035224,15.408886374755385,20.54739481409004,28.24838331702542
崇左市,54.83934447224352,51.90862130595257,46.65173851222468,10.090000346800762,12.185379313334488,16.986084619386183,29.43112450147389
钦州市,50.69141787478203,46.75409469228006,44.20617528655298,9.990696673189827,16.71497833379927,24.58426055353648,26.68228888267636
玉林市,50.24124798481041,48.15704958764333,43.23078351272021,12.398399461839542,17.38973825831703,24.41243884540118,27.24352772341813
阳江市,45.82810477214775,41.87490571072763,37.60494063926943,8.350004981320057,17.221211083437105,17.11614777916149,27.76693282765391
江门市,46.72825352156477,41.5715754617918,38.1910233879051,9.744175743401264,26.561664884731044,17.438506515202125,26.06304362704897
,42.27406309342607,18.18548282235269,15.053958904109594,3.206687975646879,5.714075342465752,4.8627092846270905,37.79459817351598
珠海市,44.57468208009647,34.890006523157226,33.79511643835615,8.791881278538812,21.58427511415526,13.827283105022834,31.938077002905768
普洱市,38.49579511491686,34.1080643855484,31.839135595577496,6.971022460190531,6.257109032751552,9.256640706487726,28.0884419952252
南宁市,55.60520767123287,52.25953885518587,49.19775301369858,11.523044109589035,19.772885821917825,21.19349315068492,26.9079899086758
Muong Nhe,45.58962524461841,41.07161937377689,33.03371232876712,7.160767123287672,3.182910958904112,7.682191780821918,37.12779908675799
红河哈尼族彝族自治州,44.67149363429832,41.10365523989476,37.46462371280112,10.657588190836092,6.858573216816252,13.552706660368454,33.228480806172286
中山市,48.37554816264405,43.15624918460538,40.83240487062407,10.59158295281584,35.946321917808206,20.68249619482496,24.54275494672754
云浮市,46.746871819960845,44.91509873687955,40.74918970527188,9.48158073889581,21.372721046077203,20.2552511415525,22.626129237581296
文山壮族苗族自治州,50.616313440017,49.113993213140674,42.48367016418924,10.768238220149616,6.988143398426115,13.557786845428934,32.574073286052005
贵港市,55.73447062452139,53.52889960010208,48.26116914830259,13.417848719475872,16.884334425253126,22.64105122096484,27.769862021044272
梧州市,50.277910290280495,48.56890929549901,44.76118721461186,11.931226484018262,16.21834646118721,17.83857305936073,25.487569025875164
香港特别行政区,42.73444585779518,33.4293909001957,34.07034246575342,7.038890410958905,31.93875000000001,14.392465753424656,29.10233333333331
百色市,55.8600693905913,53.698896360807545,48.54065957627846,12.758048838594412,9.182300221220125,18.45476899515018,29.19508840296093
Ha Quang,65.03122504892367,64.90913894324854,51.70780821917812,13.496986301369867,8.090034246575353,16.1,32.73778538812784
佛山市,55.706173128669306,49.65060848825837,46.28473373287672,14.718345890410951,46.09125898972602,23.57542808219178,20.28270376712328
