province,AQI,PM2.5_IAQI,PM10_IAQI,SO2_IAQI,NO2_IAQI,CO_IAQI,O3_IAQI
海南省,23.42620844854071,15.143616359447,15.12656129032258,2.432199999999999,6.084795698924733,6.874569892473118,22.13867526881721
广东省,43.77653076113322,39.02475244700656,40.00165384615385,8.567277007145858,19.936202185792347,16.141992433795714,32.739949889818746
云南省,30.65501391225905,26.0516100874979,27.786909403219468,6.880793973301924,6.814790979583825,11.540061837455829,24.717853945818607
Quang Ninh,38.13740476190476,33.15083333333333,28.667166666666667,6.77,4.422916666666667,8.966666666666667,33.37316666666665
广西壮族自治区,44.48529049337877,40.23077616357276,42.90886315128687,10.216881198995608,11.56668236032643,16.425502197112372,29.83738130362001
,40.972380070546734,17.376593915343918,13.87074074074074,3.259,5.302453703703703,4.276851851851851,38.502549382716055
Dien Bien,31.327940476190484,28.09184523809525,22.92833333333333,4.989666666666667,1.936666666666667,4.891666666666667,28.541333333333338
香港特别行政区,38.143553571428576,26.41812499999999,26.8285,5.714,27.69583333333333,9.933333333333334,32.40141666666666
Cao Bang,50.42464285714285,50.42464285714285,44.696500000000015,12.013666666666664,6.500833333333334,13.266666666666667,33.125
台湾省,34.00568529471237,22.953415605095536,19.354193205944803,6.328749469214438,20.87792993630573,3.9838641188959674,32.05148018400567
Shan,26.00925,23.587380952380958,20.96733333333334,4.009666666666666,2.902291666666667,8.3,22.587000000000007
福建省,39.77831011989049,32.24049488206498,34.3099292834891,8.489996884735202,12.318690809968848,12.229283489096575,35.50667169829133
贵州省,42.2855938303342,36.18801413881748,40.75625835475579,10.404640959725793,9.126678449014571,12.326081833761782,29.93809597257926
湖南省,53.17230036508093,47.925699675904646,49.585851018220815,11.367857449088962,13.875149160414436,21.543729903536978,38.18025405177174
江西省,49.870440697248114,46.16694552277436,45.29758808876811,12.36943636775362,12.73371037137681,16.81812726449275,37.735237545289856
四川省,41.635913381762,29.10704277803775,29.08889494618624,6.674270316643272,8.739942286694747,9.774649040711274,34.29096825768212
西藏自治区,45.700395342159695,12.28919331270414,9.48528402685414,0.8479655456330335,0.9165312876052928,3.787190449046805,45.41729721401743
East Siang,43.91315079365079,42.83523809523809,32.045833333333334,3.6126666666666662,4.1779166666666665,6.316666666666666,39.75622222222221
重庆市,46.23673482142858,42.18703951719577,43.61781388888889,14.04662361111111,15.618655092592592,14.284375,28.217837500000005
浙江省,43.92319592352092,34.644416798941805,36.86348888888888,7.955269629629629,22.519468518518515,13.957722222222223,37.60981270482605
湖北省,48.76256144514908,44.23752042698998,45.69531754817549,10.32642558425584,16.203202542025416,18.72422099220993,34.996244604718775
Central,58.58125252525252,23.870952380952374,17.773,1.425,0.7033333333333333,4.658333333333333,58.58125252525252
安徽省,50.73126220109257,44.94899041434757,48.54501406926407,10.651857142857144,26.50195982142857,16.98774350649351,37.11164321789321
Mid-Western,43.85111111111112,13.00761904761905,9.5925,1.0255,0.5047916666666666,3.9583333333333335,43.85111111111112
江苏省,53.570632338120426,44.51650847640643,46.61775321239608,10.034214663643237,28.762471655328795,15.711848072562356,40.23975497606448
陕西省,52.79409301499607,46.98843297816363,51.32120497237568,12.030528913443831,21.43723535911602,18.08699815837937,31.155631798649488
河南省,60.4565342364532,53.79478357963876,58.8174664367816,12.811664367816087,30.886862643678157,22.40351494252873,39.74936030651341
上海市,55.3447992574555,34.86628224206348,37.79676388888889,8.181583333333334,35.837763888888894,15.73298611111111,42.41764730639729
青海省,40.46491095774488,13.724587492969627,10.245517279090118,1.0159230096237992,1.0057565069991252,3.485102252843395,40.1169106882473
甘肃省,43.48860505676218,28.68840980931985,28.734646948608127,4.629127587437545,6.977703158458247,6.178096002855103,36.57631105757793
Uttarakhand,41.25633333333334,14.973809523809525,11.0995,1.3234999999999997,1.999583333333334,4.083333333333333,41.25633333333334
Himachal Pradesh,45.92238888888889,12.967619047619046,9.597,1.7949999999999997,1.21625,4.233333333333333,45.92238888888889
山西省,66.93760995681436,61.73502299979325,63.61578485287023,19.45365677761697,32.23870791123975,24.61785576459237,37.5694817494774
山东省,63.06668249774732,51.62508578170464,60.51223149528068,12.729951316443117,33.55002111276702,19.85509190263289,48.35987105782114
宁夏回族自治区,52.636333997622536,41.878659009859454,51.20603010279002,12.65008720207839,20.35004955947137,11.124229074889872,34.17943367596671
河北省,66.78702855371509,59.220592058739655,60.42785489021957,12.757884630738529,33.65765878243513,17.619696606786427,42.72706557188654
新疆维吾尔自治区,56.12694135385311,39.19374054812291,29.29121075819604,1.4334865396041878,2.5784829059829053,4.654456099456099,36.30511965811968
内蒙古自治区,40.56793323942634,28.462060709043328,24.94629325419616,5.542830652881482,6.2002423096560095,6.47190790733295,32.76329763652221
天津市,76.50093935309974,68.1289341868823,68.3987389937107,12.607182389937105,48.49128144654088,25.50345911949685,46.31406394129978
辽宁省,45.84056898472471,37.10088448516965,40.98729082946935,10.754133178773827,22.623230937660995,16.578039670273053,35.87189242502303
北京市,72.55562720458555,63.31510168650792,60.61373842592594,6.529189814814814,36.88773611111112,16.71944444444444,39.885675364758704
Gorno-Badakhshan,45.97693055555555,2.88404761904762,2.10525,0.1917499999999999,0.3496875,3.53125,45.97693055555555
吉林省,33.65601080677201,23.149642788803234,25.39959127439725,6.819558362035972,11.785880214313048,11.666657099119789,30.31652264319429
Osh,44.26336507936508,4.610000000000001,3.4596666666666662,0.2616666666666667,0.4216666666666666,3.675,44.14888888888889
Naryn,46.37415873015875,15.627976190476192,10.835333333333336,0.4525555555555556,0.3543055555555555,3.3916666666666666,41.35544444444445
